Gender,Count,Rank
FEMALE,172,1
FEMALE,112,2
FEMALE,104,3
FEMALE,99,4
FEMALE,99,4
FEMALE,79,5
FEMALE,59,6
FEMALE,57,7
FEMALE,56,8
FEMALE,56,8
FEMALE,54,9
FEMALE,54,9
FEMALE,53,10
FEMALE,49,11
FEMALE,44,12
FEMALE,42,13
FEMALE,42,13
FEMALE,42,13
FEMALE,40,14
FEMALE,39,15
FEMALE,39,15
FEMALE,35,16
FEMALE,34,17
FEMALE,34,17
FEMALE,34,17
FEMALE,34,17
FEMALE,33,18
FEMALE,32,19
FEMALE,32,19
FEMALE,31,20
FEMALE,31,20
FEMALE,30,21
FEMALE,30,21
FEMALE,30,21
FEMALE,29,22
FEMALE,29,22
FEMALE,29,22
FEMALE,28,23
FEMALE,28,23
FEMALE,28,23
FEMALE,28,23
FEMALE,27,24
FEMALE,27,24
FEMALE,27,24
FEMALE,26,25
FEMALE,26,25
FEMALE,26,25
FEMALE,26,25
FEMALE,26,25
FEMALE,25,26
FEMALE,25,26
FEMALE,25,26
FEMALE,25,26
FEMALE,24,27
FEMALE,24,27
FEMALE,24,27
FEMALE,24,27
FEMALE,24,27
FEMALE,23,28
FEMALE,23,28
FEMALE,23,28
FEMALE,23,28
FEMALE,23,28
FEMALE,23,28
FEMALE,23,28
FEMALE,22,29
FEMALE,21,30
FEMALE,21,30
FEMALE,21,30
FEMALE,21,30
FEMALE,20,31
FEMALE,20,31
FEMALE,20,31
FEMALE,20,31
FEMALE,20,31
FEMALE,20,31
FEMALE,20,31
FEMALE,20,31
FEMALE,19,32
FEMALE,19,32
FEMALE,19,32
FEMALE,19,32
FEMALE,19,32
FEMALE,19,32
FEMALE,18,33
FEMALE,18,33
FEMALE,18,33
FEMALE,18,33
FEMALE,18,33
FEMALE,18,33
FEMALE,17,34
FEMALE,17,34
FEMALE,17,34
FEMALE,17,34
FEMALE,17,34
FEMALE,17,34
FEMALE,16,35
FEMALE,16,35
FEMALE,16,35
FEMALE,16,35
FEMALE,16,35
FEMALE,16,35
FEMALE,16,35
FEMALE,16,35
FEMALE,16,35
FEMALE,16,35
FEMALE,15,36
FEMALE,15,36
FEMALE,15,36
FEMALE,15,36
FEMALE,15,36
FEMALE,15,36
FEMALE,15,36
FEMALE,14,37
FEMALE,14,37
FEMALE,14,37
FEMALE,14,37
FEMALE,14,37
FEMALE,14,37
FEMALE,14,37
FEMALE,14,37
FEMALE,14,37
FEMALE,14,37
FEMALE,14,37
FEMALE,13,38
FEMALE,13,38
FEMALE,13,38
FEMALE,13,38
FEMALE,13,38
FEMALE,13,38
FEMALE,12,39
FEMALE,12,39
FEMALE,12,39
FEMALE,12,39
FEMALE,12,39
FEMALE,12,39
FEMALE,12,39
FEMALE,12,39
FEMALE,12,39
FEMALE,12,39
FEMALE,12,39
FEMALE,12,39
FEMALE,12,39
FEMALE,12,39
FEMALE,12,39
FEMALE,12,39
FEMALE,11,40
FEMALE,11,40
FEMALE,11,40
FEMALE,11,40
FEMALE,11,40
FEMALE,11,40
FEMALE,11,40
FEMALE,11,40
FEMALE,11,40
FEMALE,11,40
FEMALE,11,40
FEMALE,11,40
FEMALE,11,40
FEMALE,11,40
FEMALE,11,40
FEMALE,11,40
FEMALE,11,40
FEMALE,10,41
FEMALE,10,41
FEMALE,10,41
FEMALE,10,41
FEMALE,10,41
FEMALE,10,41
FEMALE,10,41
FEMALE,10,41
FEMALE,10,41
FEMALE,10,41
FEMALE,10,41
FEMALE,10,41
FEMALE,10,41
FEMALE,10,41
FEMALE,10,41
FEMALE,10,41
FEMALE,10,41
FEMALE,10,41
FEMALE,10,41
FEMALE,109,1
FEMALE,104,2
FEMALE,68,3
FEMALE,65,4
FEMALE,57,5
FEMALE,54,6
FEMALE,51,7
FEMALE,49,8
FEMALE,48,9
FEMALE,48,9
FEMALE,46,10
FEMALE,45,11
FEMALE,44,12
FEMALE,43,13
FEMALE,41,14
FEMALE,41,14
FEMALE,40,15
FEMALE,38,16
FEMALE,38,16
FEMALE,37,17
FEMALE,37,17
